PaddleX,ActionX,BallsData
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,-2.254769:6
-0.2999999,-1,-2.254769:5.996076
-0.5999998,-1,-2.254769:5.988228
-0.8999997,-1,-2.254769:5.976456
-1.2,-1,-2.254769:5.96076
-1.5,-1,-2.254769:5.94114
-1.799999,-1,-2.254769:5.917596
-2.099999,-1,-2.254769:5.890128
-2.399999,-1,-2.254769:5.858736
-2.099999,1,-2.254769:5.82342
-2.399999,-1,-2.254769:5.78418
-2.099999,1,-2.254769:5.741016
-2.399999,-1,-2.254769:5.693928
-2.099999,1,-2.254769:5.642916
-2.399999,-1,-2.254769:4.1812
-2.099999,1,-2.254769:4.12234
-2.399999,-1,-2.254769:4.059556
-2.099999,1,-2.254769:3.992849
-2.399999,-1,-2.254769:3.922217
-2.099999,1,-2.254769:3.847661
-2.399999,-1,-2.254769:3.769181
-2.099999,1,-2.254769:3.043027
-2.399999,-1,-2.254769:2.956699
-2.099999,1,-2.254769:2.866447
-2.399999,-1,-2.254769:2.772271
-2.099999,1,-2.254769:2.674171
-2.399999,-1,-2.254769:2.572147
-2.099999,1,-2.254769:1.834399
-2.399999,-1,-2.254769:1.724528
-2.099999,1,-2.254769:1.610732
-2.399999,-1,-2.254769:1.493012
-2.099999,1,-2.254769:1.371368
-2.399999,-1,-2.254769:1.2458
-2.099999,1,-2.254769:1.116308
-2.399999,-1,-2.254769:0.9828922
-2.099999,1,-2.254769:0.8455523
-2.399999,-1,-2.254769:-0.2085021
-2.099999,1,-2.254769:-0.3536899
-2.399999,-1,-2.254769:-0.5028018
-2.099999,1,-2.254769:-0.6558377
-2.399999,-1,-2.254769:-0.8127975
-2.099999,1,-2.254769:-0.9736814
-2.399999,-1,-2.254769:-1.138489
-2.099999,1,-2.254769:-1.307221
-2.399999,-1,-2.254769:-2.305227
-2.099999,1,-2.254769:-2.481807
-2.399999,-1,-2.254769:-2.662311
-2.099999,1,-2.254769:-2.846739
